surname,ids,gender,age_bin,geography,creditscore,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,churn_prediction,churn_score
Y?an,29754-15652658,Female,36-45,Spain,686,39,5,0.0,2,1.0,0.0,90189.3,0,0.05595279
Obielumani,25702-15594041,Male,36-45,France,679,38,2,0.0,1,0.0,0.0,101319.76,0,0.30699885
Tien,117631-15746995,Male,36-45,France,751,41,8,0.0,2,1.0,1.0,145580.85,0,0.019892648
Hsiung,49074-15800773,Male,36-45,Germany,709,41,7,148843.56,1,1.0,0.0,131647.31,0,0.4283656
Yermakova,70877-15571284,Male,36-45,France,705,36,9,0.0,2,1.0,1.0,142492.38,0,0.00991889
Chukwufumnanya,98683-15790763,Female,36-45,Spain,664,45,8,129755.99,1,1.0,0.0,55725.04,0,0.49366632
Whitehead,131827-15622212,Female,36-45,France,699,43,10,0.0,2,1.0,0.0,49865.88,0,0.13716431
Fenton,2258-15775233,Male,46-60,France,755,49,2,0.0,1,1.0,0.0,116577.31,1,0.80876535
Hsieh,47047-15600379,Male,36-45,Germany,669,45,8,116695.27,1,0.0,1.0,59890.29,0,0.41844353
Udokamma,61715-15592816,Female,26-35,Germany,623,29,5,108076.33,1,1.0,0.0,118855.26,0,0.41043875
Chin,26940-15755223,Male,18-25,Germany,696,25,4,150926.99,2,1.0,1.0,119817.19,0,0.025057163
Aksakova,46577-15686957,Female,26-35,France,684,29,5,0.0,2,0.0,1.0,85412.45,0,0.017962458
Tretiakova,86336-15589435,Male,36-45,France,573,39,1,95295.42,1,1.0,0.0,118711.71,0,0.14716002
Hsu,156331-15647800,Male,26-35,Germany,614,30,7,116539.2,1,1.0,0.0,54869.42,0,0.2799882
Cremonesi,59941-15723217,Male,26-35,France,616,33,9,0.0,1,1.0,0.0,111312.96,0,0.16138896
Lucchese,25845-15682547,Male,36-45,France,592,38,1,122214.0,1,0.0,1.0,88965.46,0,0.07395748
Liao,15342-15714993,Female,46-60,France,590,51,7,0.0,1,1.0,0.0,121299.14,1,0.9277212
Onyekachi,47298-15667632,Female,36-45,Germany,735,36,1,115062.02,1,1.0,0.0,91943.94,1,0.50960195
Ch'eng,139099-15652835,Female,46-60,Germany,539,59,9,131365.88,1,1.0,1.0,168822.71,1,0.7547799
Obialo,146109-15727021,Female,26-35,Germany,633,30,1,119027.28,2,1.0,1.0,137903.54,0,0.06907836
Y?an,83439-15782404,Female,26-35,Spain,414,33,9,96381.68,2,0.0,0.0,91881.29,0,0.14455585
Leonard,118223-15795186,Male,36-45,France,562,38,5,0.0,1,1.0,0.0,115700.2,0,0.30173007
Yefimova,14528-15670562,Male,36-45,France,641,40,4,91611.44,1,0.0,1.0,129892.92,0,0.08913136
Sal,114446-15649487,Female,26-35,France,528,30,3,113150.44,2,0.0,0.0,176712.59,0,0.14374179
Cattaneo,124813-15643904,Female,26-35,France,607,26,3,85906.05,1,0.0,0.0,135041.58,0,0.16113593
T'ang,29060-15782876,Male,26-35,Spain,696,33,4,0.0,2,1.0,1.0,125518.32,0,0.007851965
Eluemuno,64650-15746199,Female,36-45,Spain,679,41,7,0.0,2,1.0,1.0,143585.29,0,0.027705045
Smith,30800-15577771,Male,46-60,France,724,47,8,165798.1,1,1.0,0.0,89801.9,0,0.4557438
Clayton,53438-15687162,Male,46-60,Germany,461,51,9,119889.84,1,0.0,0.0,56767.67,1,0.83240217
Hsia,118863-15757932,Male,36-45,France,648,44,8,124577.68,1,0.0,1.0,148897.18,0,0.17417148
Trevisano,53179-15612092,Female,36-45,Germany,505,37,10,122453.37,2,1.0,1.0,52693.99,0,0.087240934
K'ung,45553-15685300,Female,46-60,France,751,46,1,0.0,1,1.0,1.0,150468.97,1,0.6845853
P'an,65655-15653773,Male,26-35,France,565,35,5,0.0,2,1.0,1.0,75578.67,0,0.00820365
Hao,143706-15776844,Female,36-45,Spain,527,38,3,0.0,2,1.0,1.0,55500.17,0,0.032175355
Chinedum,65937-15679611,Male,46-60,France,706,52,2,127299.58,2,1.0,1.0,46472.29,0,0.11288271
Azubuike,78361-15624145,Male,36-45,France,538,42,1,0.0,2,1.0,0.0,140947.05,0,0.06929993
Scott,14233-15721181,Male,36-45,France,645,36,4,0.0,2,1.0,0.0,181208.47,0,0.026614668
Nwabugwu,152709-15572398,Male,26-35,Germany,721,33,9,122917.71,2,1.0,0.0,69080.46,0,0.06962489
Milanesi,16235-15663917,Female,26-35,France,711,33,6,0.0,2,1.0,0.0,64722.61,0,0.029448032
Williamson,33517-15810864,Female,26-35,France,576,32,6,0.0,2,0.0,0.0,182055.36,0,0.040283002
Chukwukere,129067-15623202,Female,26-35,Germany,577,32,6,109740.62,1,1.0,0.0,16081.62,0,0.4505698
Calabrese,72827-15585853,Female,26-35,France,715,29,9,0.0,2,1.0,1.0,151623.91,0,0.013863335
Tsou,30202-15632669,Male,26-35,France,678,29,3,135950.65,1,1.0,1.0,78650.95,0,0.033474024
Nnamutaezinwa,129119-15795954,Male,36-45,France,592,40,4,0.0,2,1.0,1.0,97623.42,0,0.016870882
Shao,135171-15583343,Male,46-60,Spain,684,46,7,0.0,1,1.0,0.0,182865.87,1,0.76048714
Okwudilichukwu,81220-15609998,Male,36-45,Spain,540,37,0,120825.7,1,0.0,0.0,132730.07,0,0.27036285
Ts'ao,42447-15741336,Female,36-45,France,757,40,0,0.0,2,1.0,1.0,136077.86,0,0.045592573
Dilke,84187-15651315,Male,36-45,France,814,41,3,0.0,2,1.0,1.0,132719.8,0,0.020569334
Gilchrist,147716-15762045,Female,36-45,Germany,580,44,3,126104.98,2,1.0,0.0,110718.02,0,0.43963256
Ting,148101-15571571,Male,26-35,Germany,680,31,3,127331.46,3,1.0,1.0,176433.6,1,0.81503147
Onyemauchechukwu,58818-15605113,Male,26-35,Germany,793,35,2,102265.6,1,1.0,1.0,182726.6,0,0.124763146
Chiemela,123329-15810942,Female,46-60,Germany,578,51,1,135927.06,1,1.0,1.0,56908.41,1,0.7819009
Cook,55051-15792922,Male,60+,France,703,66,8,0.0,2,1.0,1.0,134942.45,0,0.025682505
Fan,41767-15616666,Female,26-35,France,508,30,1,0.0,2,1.0,0.0,122280.5,0,0.039663997
Ubanwa,115873-15616172,Male,36-45,France,838,43,2,0.0,2,1.0,0.0,8222.96,0,0.10086894
Stevenson,144135-15622834,Male,36-45,France,596,36,2,0.0,2,1.0,0.0,125557.95,0,0.023983229
P'eng,153552-15778025,Male,36-45,Germany,598,37,3,129968.69,1,1.0,1.0,168080.53,0,0.16211338
T'ang,77567-15776597,Female,36-45,France,829,44,2,91328.71,1,1.0,1.0,129529.13,0,0.23364732
Monds,160273-15658935,Male,26-35,France,739,31,10,109472.89,1,1.0,1.0,172738.0,0,0.055307675
Tung,91855-15638774,Male,36-45,France,708,36,2,0.0,2,1.0,0.0,149575.59,0,0.022866448
Fu,128336-15680112,Male,36-45,France,685,38,4,142910.15,1,0.0,1.0,176395.02,0,0.06812725
Hsing,144343-15806919,Male,26-35,France,758,32,6,95737.28,1,1.0,1.0,164444.99,0,0.032985378
Ojiofor,158825-15762638,Female,36-45,France,554,38,3,0.0,1,1.0,1.0,92887.96,0,0.2665003
Shubina,131373-15761292,Male,26-35,Spain,721,32,7,0.0,2,1.0,0.0,67840.81,0,0.016822934
Chin,33151-15641183,Male,18-25,Spain,731,25,8,96950.21,1,0.0,0.0,97877.92,0,0.095535316
Hsia,152670-15581871,Female,26-35,Germany,685,32,3,103907.34,2,1.0,1.0,140138.99,0,0.060561676
Brown,154627-15622833,Female,26-35,Spain,658,27,10,102000.17,2,1.0,1.0,116757.0,0,0.03539792
Chiang,88624-15593760,Female,36-45,Spain,689,41,5,83310.24,1,1.0,0.0,150694.98,0,0.28031373
P'an,12847-15612184,Female,36-45,France,729,42,4,0.0,2,1.0,0.0,131804.86,0,0.09440293
P'eng,136344-15584090,Female,36-45,Germany,638,44,2,123475.04,1,1.0,0.0,147055.87,1,0.8368416
Lucchesi,24625-15729377,Female,26-35,France,753,29,2,114446.74,3,0.0,1.0,102517.76,1,0.77985466
Fomin,91067-15807595,Female,46-60,Germany,705,56,5,121365.39,1,1.0,0.0,93844.82,1,0.92819685
Iweobiegbunam,13182-15623082,Male,26-35,Germany,582,34,7,120829.74,2,0.0,0.0,143679.35,0,0.08909629
Ts'ui,39324-15591711,Male,36-45,France,491,36,3,0.0,2,1.0,0.0,180800.42,0,0.030118866
Nkemakonam,16142-15643671,Female,26-35,Spain,729,30,9,0.0,2,0.0,0.0,172524.51,0,0.039007876
Kelly,26651-15576077,Female,26-35,France,610,27,9,0.0,2,0.0,1.0,103381.47,0,0.020163687
Stanley,155911-15752953,Male,36-45,Spain,791,40,5,87413.19,1,1.0,1.0,181918.26,0,0.08357557
Wright,149686-15575146,Male,36-45,Germany,718,42,4,104633.83,2,0.0,0.0,155711.64,0,0.21816082
Lombardo,90357-15792473,Female,46-60,Spain,673,50,3,0.0,2,0.0,0.0,119808.64,0,0.40363595
Power,91374-15800440,Male,26-35,Spain,650,26,1,152968.73,1,0.0,1.0,82970.69,0,0.066313766
T'ien,105008-15789863,Male,36-45,France,745,42,1,0.0,2,1.0,0.0,84912.47,0,0.05488952
Cremonesi,39461-15713854,Male,36-45,France,513,37,6,0.0,2,1.0,0.0,110142.34,0,0.025791327
Lu,94995-15801768,Male,18-25,France,735,24,9,127900.54,1,1.0,1.0,80130.54,0,0.04188999
Nweke,99577-15682841,Male,46-60,France,537,47,5,0.0,2,1.0,1.0,134420.75,0,0.063750826
Manna,151070-15783526,Female,36-45,France,725,36,7,0.0,2,1.0,1.0,62987.13,0,0.016100321
O'Callaghan,64485-15794566,Male,36-45,France,733,37,8,136674.48,1,1.0,1.0,158887.09,0,0.05431444
Watkins,120724-15807305,Male,36-45,France,805,40,5,0.0,1,0.0,0.0,166650.32,0,0.4793567
Reid,138133-15645778,Male,36-45,France,670,42,3,81589.04,1,1.0,0.0,188227.8,0,0.2384545
Tien,128696-15765014,Male,36-45,France,611,44,1,0.0,2,1.0,0.0,186841.71,0,0.095251575
Onyeorulu,92416-15682540,Female,26-35,France,516,33,1,103564.83,2,1.0,0.0,121085.72,0,0.098637775
Ni,128478-15682686,Male,36-45,Germany,516,36,1,115766.26,1,1.0,0.0,49492.15,0,0.42416313
Pagnotto,14838-15609913,Female,26-35,Germany,619,32,3,103522.75,1,1.0,1.0,73371.65,0,0.20475565
Lai,24634-15682021,Male,36-45,Germany,584,41,10,104552.72,1,1.0,0.0,131778.58,1,0.5380221
Cattaneo,74615-15567919,Male,36-45,France,733,43,2,83074.0,1,1.0,0.0,136059.64,0,0.29260164
Calabrese,24031-15791342,Male,26-35,France,569,26,7,134644.09,1,1.0,1.0,178393.68,0,0.043862004
Hsia,25650-15699524,Male,46-60,Spain,742,54,0,0.0,1,1.0,0.0,133692.88,1,0.89954984
Palermo,113540-15746901,Male,18-25,France,711,24,3,0.0,2,1.0,1.0,159618.17,0,0.00827443
Cremonesi,125829-15769913,Female,36-45,Spain,733,40,3,0.0,1,0.0,0.0,160829.99,1,0.6345281
Ogochukwu,28263-15679307,Female,36-45,France,718,40,9,0.0,2,0.0,1.0,146041.45,0,0.047831457
Toscani,38596-15670552,Male,36-45,France,546,36,10,0.0,2,1.0,0.0,170421.13,0,0.029446928
Chien,103297-15625916,Male,26-35,France,736,32,6,161628.66,1,1.0,0.0,91482.5,0,0.09349798
Uspenskaya,115617-15583550,Male,36-45,Spain,587,36,6,124540.28,1,1.0,1.0,185563.33,0,0.058557715
Greco,26188-15652693,Female,26-35,France,573,26,4,129109.02,1,0.0,0.0,149814.68,0,0.1971026
Hsiao,97385-15642909,Male,26-35,Spain,638,27,4,141806.0,2,0.0,1.0,73985.85,0,0.033661347
Okwuadigbo,29260-15706554,Female,18-25,Germany,666,24,2,146098.43,2,1.0,1.0,98175.74,0,0.048022315
Dickson,56822-15604073,Male,36-45,Spain,769,39,2,0.0,1,1.0,1.0,60427.3,0,0.14505796
Ch'iu,19220-15669281,Male,36-45,Spain,678,38,3,128718.78,1,0.0,0.0,114793.45,0,0.15913762
Uwakwe,62456-15591047,Female,46-60,France,644,51,5,0.0,1,1.0,1.0,154364.66,1,0.758724
Hs?eh,84527-15725665,Male,36-45,France,591,41,9,0.0,2,0.0,1.0,172363.28,0,0.027165452
Pinto,154315-15593973,Male,26-35,France,695,35,5,0.0,2,1.0,0.0,145792.01,0,0.016798731
Williamson,156812-15771749,Male,36-45,France,850,42,4,123374.46,1,1.0,1.0,103931.49,0,0.10291148
Onochie,161985-15731519,Female,36-45,Germany,850,39,6,95710.22,2,0.0,0.0,143323.34,0,0.20743811
Mason,144079-15642934,Female,26-35,Germany,669,35,4,108269.37,2,1.0,0.0,174969.92,0,0.17917399
Henry,81213-15702789,Female,60+,France,580,70,7,101827.07,1,1.0,0.0,108301.45,1,0.5923147
Stonebraker,49092-15633064,Male,36-45,Spain,438,36,6,0.0,1,0.0,1.0,84927.42,0,0.19024716
Townsley,155669-15574830,Male,26-35,Germany,633,32,2,104356.94,1,1.0,1.0,147635.33,0,0.12248835
Ojiofor,16234-15717290,Female,26-35,France,730,29,4,95624.36,1,0.0,0.0,61312.15,0,0.16085683
Aitken,55220-15782875,Female,26-35,France,751,28,6,0.0,2,1.0,1.0,160129.99,0,0.014616536
Shih,33281-15671930,Female,26-35,France,676,29,4,0.0,1,1.0,0.0,98820.06,0,0.25966194
Chidiebere,20184-15691624,Female,26-35,France,820,33,2,132150.26,2,1.0,1.0,23067.97,0,0.048836034
Trevisani,162251-15680753,Male,26-35,France,662,33,4,0.0,1,0.0,0.0,55724.28,0,0.25684127
K'ung,159390-15710687,Male,36-45,France,750,39,7,128605.31,1,1.0,0.0,199255.97,0,0.1783223
Artyomova,136075-15684294,Male,26-35,Spain,733,31,8,0.0,1,1.0,0.0,142956.48,0,0.15510306
Elliott,113862-15715745,Female,46-60,France,743,56,5,157624.84,1,1.0,1.0,49599.27,0,0.4570763
Ritchie,75774-15586022,Male,36-45,France,587,36,2,0.0,2,1.0,1.0,96981.77,0,0.010469719
K'ung,23637-15655461,Female,36-45,Germany,757,42,1,114997.24,1,1.0,0.0,119644.98,1,0.7256695
Uwaezuoke,73750-15575024,Male,36-45,France,681,36,3,0.0,2,1.0,0.0,143954.99,0,0.022687225
Tuan,22936-15632345,Male,26-35,France,754,33,4,0.0,2,1.0,0.0,44830.71,0,0.020739084
Marshall,18681-15771636,Male,36-45,Spain,681,36,5,0.0,1,0.0,0.0,148993.47,0,0.31974947
Manna,90636-15575883,Male,26-35,France,559,34,9,137390.11,2,1.0,0.0,9677.0,0,0.059346862
Molineux,80449-15795132,Female,18-25,France,735,25,3,0.0,2,0.0,0.0,28411.23,0,0.048442587
Teng,119817-15576683,Male,36-45,Spain,717,36,2,0.0,2,1.0,0.0,170853.76,0,0.024335857
Kaeppel,144813-15636018,Male,26-35,France,751,30,5,0.0,1,1.0,1.0,90876.95,0,0.07120962
K?,146123-15743192,Female,36-45,Spain,585,40,2,0.0,2,1.0,1.0,76611.33,0,0.02688295
Chou,35029-15681697,Female,46-60,Spain,850,48,3,75075.31,1,1.0,0.0,161653.5,1,0.59176487
Chukwuemeka,116944-15637644,Female,36-45,Germany,724,45,1,133861.1,1,0.0,0.0,168034.9,1,0.82729626
Binder,137887-15682865,Male,36-45,France,692,37,0,0.0,2,1.0,1.0,79616.52,0,0.013277929
Chinedum,51563-15583576,Male,36-45,France,699,40,3,113657.83,1,1.0,0.0,138360.29,0,0.19798902
Ts'ui,34020-15779738,Male,26-35,France,762,27,9,137842.19,1,1.0,0.0,169665.76,0,0.08427585
Uspensky,147386-15571914,Male,26-35,Germany,663,34,6,152296.64,1,1.0,0.0,183318.79,0,0.22659087
Uspensky,70299-15771580,Female,26-35,France,583,32,1,0.0,2,1.0,0.0,80979.87,0,0.031559784
Toscani,91031-15597949,Male,26-35,France,718,33,10,120599.9,1,1.0,0.0,133518.34,0,0.08588937
Chigbogu,111438-15778481,Male,36-45,Spain,817,37,1,118907.6,1,0.0,1.0,120819.58,0,0.09838253
Paterson,34196-15641312,Male,36-45,France,645,36,6,0.0,1,1.0,1.0,27011.8,0,0.10787682
Yobanna,46425-15656471,Female,26-35,France,706,35,4,0.0,2,1.0,0.0,162763.01,0,0.037912894
Mazzanti,78867-15572361,Male,46-60,France,594,60,7,0.0,1,1.0,0.0,93524.22,1,0.8618888
Dyer,60989-15598088,Male,26-35,Spain,773,35,6,0.0,2,1.0,0.0,121151.1,0,0.016373087
Ch'eng,152642-15735784,Male,36-45,Germany,555,45,2,112070.86,1,0.0,0.0,189430.86,1,0.75581264
Hsing,117801-15692926,Male,36-45,Germany,742,37,1,152076.93,2,1.0,0.0,121840.2,0,0.08766125
Ugochukwu,117810-15613197,Male,36-45,France,536,38,10,0.0,2,1.0,0.0,77977.69,0,0.032901794
Udobata,131397-15787772,Male,26-35,Germany,649,31,8,92472.1,1,1.0,1.0,54227.04,0,0.092089735
Trevisano,100447-15770103,Female,18-25,France,729,25,2,140745.52,1,1.0,0.0,93949.85,0,0.116112486
Shen,127641-15739931,Female,46-60,France,671,56,0,105245.34,1,1.0,0.0,148811.02,1,0.8455164
Toscani,17442-15804862,Male,36-45,Germany,734,43,1,127146.68,1,1.0,0.0,137565.87,1,0.69242877
Ejimofor,115442-15611905,Female,26-35,France,711,33,5,0.0,1,1.0,0.0,69132.66,0,0.30385408
Chibueze,35572-15753837,Female,46-60,Germany,733,52,1,114510.71,2,1.0,1.0,71862.61,0,0.38016582
Golubev,131971-15645569,Female,46-60,France,681,50,9,0.0,2,1.0,0.0,17744.72,0,0.31847504
Palerma,79178-15659800,Female,26-35,Germany,633,30,1,128270.56,1,1.0,1.0,48963.59,0,0.19551148
Walker,115368-15765266,Male,36-45,Spain,683,37,8,133070.11,1,1.0,1.0,145091.97,0,0.045513105
Lo Duca,74175-15603328,Female,36-45,Germany,748,42,0,75592.03,3,1.0,0.0,107841.02,1,0.9427248
Ch'iu,147193-15687413,Female,46-60,Germany,705,47,8,131778.66,1,1.0,0.0,80619.17,1,0.84891415
Brown,54410-15642736,Female,36-45,Spain,551,43,1,121205.44,1,1.0,0.0,62368.34,1,0.5785504
Hsiung,93418-15641733,Female,26-35,Spain,612,28,7,0.0,2,1.0,1.0,180318.6,0,0.01495767
Lo,157774-15584766,Male,26-35,Germany,730,35,8,164902.57,1,1.0,0.0,164066.1,0,0.2565313
Chukwuebuka,132689-15802377,Female,46-60,Germany,678,50,5,110162.55,4,1.0,1.0,156425.54,1,0.94147253
Nnachetam,67753-15798053,Male,26-35,France,524,32,10,0.0,2,1.0,1.0,126475.79,0,0.00905245
Chibueze,88867-15576000,Female,36-45,Germany,627,40,3,78939.15,1,1.0,1.0,62746.54,0,0.26924855
Udegbunam,16363-15644280,Male,36-45,France,593,36,4,138740.24,1,1.0,0.0,119808.64,0,0.12588134
Fanucci,37947-15604817,Male,26-35,Germany,507,34,8,133334.9,2,1.0,0.0,88391.89,0,0.07097845
P'eng,45247-15605067,Male,36-45,France,611,37,3,0.0,2,1.0,1.0,125877.22,0,0.011019748
Nwachinemelu,87100-15577683,Female,36-45,France,582,38,2,0.0,1,1.0,1.0,80425.65,0,0.22036982
Nnonso,21312-15586976,Female,36-45,Spain,749,37,4,172448.77,1,1.0,1.0,175544.02,0,0.1412419
Hsing,114894-15593779,Female,46-60,Germany,611,48,1,119913.57,1,1.0,0.0,150856.38,1,0.90460575
Alexeyeva,14767-15742668,Female,26-35,Spain,712,31,9,0.0,2,1.0,1.0,76254.83,0,0.012414714
Sun,117526-15588614,Female,26-35,France,717,35,7,0.0,1,1.0,1.0,158580.05,0,0.1770709
Owens,97200-15677906,Female,46-60,Spain,637,54,5,0.0,2,0.0,1.0,150836.98,0,0.14438564
Goliwe,156153-15643679,Female,26-35,Germany,784,28,2,70233.74,2,1.0,0.0,179252.73,0,0.10562805
Ikedinachukwu,89846-15632448,Female,26-35,France,645,34,2,0.0,2,1.0,0.0,141756.32,0,0.032544885
Ch'ang,72531-15664543,Male,36-45,Germany,592,37,6,123599.18,2,1.0,1.0,143783.0,0,0.046572942
Martin,129097-15771086,Male,26-35,France,611,29,9,0.0,2,1.0,1.0,176913.87,0,0.008560783
Boyle,103140-15678067,Female,36-45,Spain,807,43,3,105356.09,2,0.0,0.0,130489.37,0,0.31093594
Calabresi,105154-15642824,Male,26-35,France,757,31,4,0.0,2,1.0,0.0,69080.46,0,0.017270628
Chidubem,34484-15613787,Male,36-45,Spain,535,40,9,103804.97,1,1.0,1.0,125710.53,0,0.11562381
Chao,34727-15629390,Female,26-35,Spain,692,32,7,144880.34,1,0.0,1.0,190457.87,0,0.08564221
Chiu,97957-15766609,Male,26-35,Germany,745,31,7,119278.97,1,1.0,1.0,129938.66,0,0.10098079
Yobachukwu,31150-15726679,Female,26-35,Spain,728,35,4,0.0,2,1.0,0.0,94440.4,0,0.035736203
Clark,121551-15789548,Male,46-60,Germany,730,47,9,122453.37,2,1.0,1.0,138882.98,0,0.17918934
Ting,19456-15631060,Female,36-45,France,677,38,9,114212.53,1,0.0,0.0,74415.96,0,0.20685273
